CONTAINER,CASES,QTY,SKUs,FFW,OCEAN/TL,40/45/53,PL,CARRIER,Live,SCHEDULED DATE,SCHEDULED TIME,ARRIVAL DATE,ARRIVAL TIME,TEAM SIZE,UNLOAD DATE,BLDG,UNLOAD START,UNLOAD FINISH,UNLOAD MINS,Unload for avs,Cases Per Person  Per Minute,RESTACK START,RESTACK FINISH,D2S START,D2S FINISH,DAMAGED PRODUCT,TOTAL PALLETS,DAMAGED PALLETS
OOLU6923830,382,31760,8,Fedex,Ocean,40' HQ Container,No,,,5/16/2017,,5/16/2017,,5,5/16/2017,,,,0,,,,,,,0,,0
OOLU6782286,458,28104,12,Fedex,Ocean,40' HQ Container,No,,,5/18/2017,,5/18/2017,,4,5/18/2017,,,,0,,,,,,,0,,0
MRKU2807839,503,32310,7,Intelligence,Ocean,40' HQ Container,No,,,5/19/2017,,5/19/2017,,4,5/19/2017,,,,0,,,,,,,0,,0
TCNU3091993,376,33840,4,SBA Global,Transload,53' Trailer,No,,,5/22/2017,,5/22/2017,,5,5/22/2017,,,,0,,,,,,,0,,0
BMOU5714949,583,28835,13,SBA Global,Transload,53' Trailer,Yes,,,5/23/2017,,5/23/2017,,5,5/23/2017,,,,0,,,,,,,0,,0
DFSU7286775,582,36808,12,Fedex,Ocean,40' HQ Container,Yes,,,5/23/2017,,5/23/2017,,5,5/23/2017,,,,0,,,,,,,0,,0
TCLU8618293,781,27702,9,Fedex,Ocean,40' HQ Container,No,,,5/24/2017,,5/24/2017,,5,5/24/2017,,,,0,,,,,,,0,,0
BMOU6831256,1147,12867,6,SBA Global,Transload,53' Trailer,No,,,5/24/2017,,5/24/2017,,5,5/24/2017,,,,0,,,,,,,0,,0
OOLU8403186,1194,31062,37,Fedex,Ocean,40' HQ Container,Yes,,,5/24/2017,,5/24/2017,,5,5/24/2017,,,,0,,,,,,,0,,0
YMLU8525004,775,32220,2,SBA Global,Transload,53' Trailer,No,,,5/25/2017,,5/25/2017,,5,5/25/2017,,,,0,,,,,,,0,,0
OOLU8464129,446,32277,31,Fedex,Ocean,40' HQ Container,Yes,,,5/25/2017,,5/25/2017,,5,5/25/2017,,,,0,,,,,,,0,,0
TCLU5679989,605,30168,14,Fedex,Ocean,40' HQ Container,Yes,,,5/25/2017,,5/25/2017,,4,5/25/2017,,,,0,,,,,,,0,,0
BEAU4575593,913,26097,14,SBA Global,Transload,53' Trailer,Yes,,,5/26/2017,,5/26/2017,,4,5/26/2017,,,,0,,,,,,,0,,0
TCNU3179615,1229,28080,14,SBA Global,Transload,53' Trailer,No,,,5/26/2017,,5/26/2017,,4,5/26/2017,,,,0,,,,,,,0,,0
MAGU5562073,881,13215,4,SBA Global,Transload,53' Trailer,No,,,5/30/2017,8:00AM,5/30/2017,7:45AM,5,5/30/2017,,,,0,,,,,,,0,,3
BEAU4575166,364,29640,2,SBA Global,Transload,53' Trailer,No,,,5/30/2017,7:00AM,5/30/2017,6:45AM,4,5/30/2017,,,,0,,,,,,,0,,0
OOLU9778171,1030,32970,106,Fedex,Ocean,40' HQ Container,Yes,,,5/31/2017,7:00AM,5/31/2017,6:45AM,4,5/31/2017,,,,0,,,,,,,0,,0
OOLU6872097,542,27070,15,Fedex,Ocean,40' HQ Container,Yes,,,5/31/2017,8:30AM,5/31/2017,7:05AM,5,5/31/2017,,,,0,,,,,,,0,,0
BMOU6291559,1217,27328,10,SBA Global,Transload,53' Trailer,No,,,6/2/2017,8:10AM,6/2/2017,8:10AM,4,6/2/2017,,,,0,,,,,,,0,,3
YMLU3010120,488,5907,3,SBA Global,Transload,53' Trailer,No,,,6/2/2017,8:10AM,6/2/2017,8:10AM,4,6/2/2017,,,,0,,,,,,,0,,3
OOLU8431300,400,32000,4,Fedex,Ocean,40' HQ Container,No,,,6/5/2017,8:00AM,6/5/2017,6:50AM,3,6/5/2017,,,,0,,,,,,,0,,0
OOLU8366734,529,32320,5,Fedex,Ocean,40' HQ Container,Yes,,,6/5/2017,7:00AM,6/5/2017,6:50AM,4,6/5/2017,,,,0,,,,,,,0,,0
TEMU7647247,536,32136,6,SBA Global,Transload,53' Trailer,No,,,6/5/2017,9:30AM,6/5/2017,9:36AM,4,6/5/2017,,,,0,,,,,,,0,,0
OOLU9366528,400,32000,4,Fedex,Ocean,40' HQ Container,No,,,6/6/2017,8:00AM,6/6/2017,7:00AM,4,6/6/2017,,,,0,,,,,,,0,,0
CAIU8876476,404,27588,5,SBA Global,Transload,53' Trailer,No,,,6/7/2017,8:00AM,6/7/2017,7:00AM,5,6/7/2017,,,,0,,,,,,,0,,2
OOLU6819030,908,31235,8,Fedex,Ocean,40' HQ Container,Yes,,,6/7/2017,7:00AM,6/7/2017,6:50AM,5,6/7/2017,,,,0,,,,,,,0,,0
YMLU8214105,392,35280,4,SBA Global,Transload,53' Trailer,No,,,6/8/2017,7:00AM,6/8/2017,7:00AM,5,6/8/2017,,,,0,,,,,,,0,,0
TCNU3067831,1080,30684,10,SBA Global,Transload,53' Trailer,Yes,,,6/9/2017,8:00AM,6/9/2017,6:45AM,4,6/9/2017,,,,0,,,,,,,2,,0
TEMU6830124,711,35825,18,SBA Global,Transload,53' Trailer,Yes,,,6/12/2017,10:00AM,6/12/2017,9:35AM,5,6/12/2017,,,,0,,,,,,,3,,0
OOLU9262729,1880,29754,12,SBA Global,Transload,53' Trailer,No,,,6/12/2017,9:00AM,6/12/2017,9:55AM,5,6/12/2017,,,,0,,,,,,,0,,0
OOLU4320416,616,16777,9,SBA Global,Transload,53' Trailer,No,,,6/13/2017,7:00AM,6/13/2017,7:00AM,5,6/13/2017,,,,0,,,,,,,0,,2
OOLU8533575,1423,28260,8,SBA Global,Transload,53' Trailer,No,,,6/14/2017,7:00AM,6/14/2017,6:45AM,4,6/14/2017,,,,0,,,,,,,0,,0
OOLU9701499,387,27852,19,Fedex,Ocean,40' HQ Container,No,,,6/16/2017,7:00AM,6/16/2017,7:00AM,4,6/16/2017,,,,0,,,,,,,0,,0
OOLU6857153,1589,24572,12,SBA Global,Transload,53' Trailer,Yes,,,6/16/2017,7:00AM,6/16/2017,7:00AM,4,6/16/2017,,,,0,,,,,,,0,,0
OOLU8572150,1044,32277,9,SBA Global,Transload,53' Trailer,No,,,6/20/2017,7:00AM,6/20/2017,6:45AM,4,6/20/2017,,,,0,,,,,,,0,,0
